co2;temp;hum;label
1201.52;22.91;27.29;1
1349.26;22.92;27.31;1
1299.53;22.88;27.31;1
1344.53;22.87;27.31;1
1349.79;22.89;27.32;1
1347.81;22.91;27.34;1
1335.06;22.89;27.31;1
1331.48;22.88;27.32;1
1335.84;22.85;27.4;1
1340.09;22.89;27.34;1
1337.36;22.85;27.66;1
1346.83;22.87;27.66;1
1347.86;22.84;27.62;1
1346.87;22.85;27.53;1
1349.88;22.84;27.45;1
1352.82;22.84;27.47;1
1356.08;22.85;27.48;1
1358.04;22.81;27.45;1
1361.91;22.82;27.48;1
1366.78;22.81;27.52;1
1372.68;22.8;27.55;1
1373.05;22.82;27.53;1
1379.7;22.8;27.49;1
1388.33;22.78;27.55;1
1399.01;22.78;27.58;1
1407.68;22.75;27.59;1
1408.17;22.74;27.62;1
1394.4;22.74;27.71;1
1405.5;22.73;27.64;1
1403.78;22.73;27.65;1
1403.43;22.74;27.75;1
1397.36;22.71;27.8;1
1395.29;22.73;27.74;1
1396.46;22.7;27.78;1
1398.24;22.65;27.76;1
1395.84;22.68;27.82;1
1395.37;22.64;27.81;1
1391.37;22.67;27.85;1
1388.29;22.65;27.84;1
1386.97;22.65;27.84;1
1388.77;22.68;27.84;1
1393.04;22.65;27.85;1
1393.49;22.64;27.94;1
1393.99;22.64;27.9;1
1396.44;22.64;27.93;1
1400.55;22.63;27.9;1
1400.04;22.63;27.92;1
1397.71;22.63;27.96;1
1396.61;22.61;27.94;1
1397.84;22.61;27.95;1
1399.18;22.58;27.96;1
1401.88;22.58;27.95;1
1401.68;22.57;27.92;1
1403.47;22.58;27.95;1
1405.73;22.57;27.93;1
1407.06;22.58;27.96;1
1405.53;22.58;27.98;1
1406.03;22.56;27.99;1
1404.85;22.56;28.07;1
1404.29;22.54;28.12;1
1402.98;22.51;28.15;1
1402.28;22.53;28.14;1
1402.59;22.51;28.21;1
1402.67;22.5;28.15;1
1402.38;22.5;28.15;1
1403.39;22.51;28.09;1
1403.34;22.5;28.15;1
1402.4;22.5;28.13;1
1401.4;22.51;28.2;1
1402.6;22.48;28.22;1
1401.76;22.47;28.27;1
1401.6;22.47;28.24;1
1400.27;22.47;28.19;1
1399.88;22.45;28.19;1
1402.25;22.5;28.15;1
1401.97;22.48;28.24;1
1403.06;22.47;28.15;1
1402.87;22.45;28.19;1
1402.96;22.44;28.22;1
1402.6;22.45;28.19;1
1403.59;22.47;28.24;1
1402.67;22.45;28.22;1
1403.73;22.44;28.2;1
1404.42;22.44;28.22;1
1403.92;22.47;28.22;1
1403.72;22.43;28.28;1
1404.3;22.43;28.25;1
1404.65;22.41;28.28;1
1405.93;22.43;28.32;1
1405.97;22.41;28.32;1
1405.51;22.41;28.32;1
1406.22;22.41;28.36;1
1404.54;22.38;28.42;1
1402.76;22.4;28.42;1
1402.22;22.38;28.47;1
1402.8;22.38;28.5;1
1402.96;22.37;28.51;1
1402.0;22.37;28.58;1
1402.08;22.37;28.51;1
1403.62;22.38;28.56;1
1403.56;22.36;28.48;1
1404.39;22.37;28.55;1
1406.25;22.38;28.57;1
1406.06;22.36;28.57;1
1406.78;22.34;28.48;1
1406.75;22.36;28.43;1
1407.05;22.34;28.51;1
